"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep PC-MAC: A deep reinforcement learning pointer-critic media access protocol","F. AL-Tam; A. Mazayev; N. Correia; J. Rodriguez","Center for Electronic, Optoelectronic and Telecommunications (CEOT); Center for Electronic, Optoelectronic and Telecommunications (CEOT); Center for Electronic, Optoelectronic and Telecommunications (CEOT); Institute of Telecommunications - University of Aveiro,Aveiro,Portugal","2020 IEEE 25th International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD)","30 Sep 2020","2020","","","1","6","Developing artificial intelligence (AI) solutions for communication problems is one of the hottest topics nowadays. This article presents Deep PC-MAC, a novel deep reinforcement learning (DRL) solution to solve the fair coexistence problem (FCP) between heterogeneous nodes in the unlicensed bands. It is based on a hybrid architecture between pointer networks (Ptr-nets) and advantage actor-critic (A2C), i.e., pointer-critic architecture. The proposed model allows base stations to fairly share unlicensed bands with incumbent nodes. It jointly protects the incumbent nodes from spectrum starvation and improves key-performance indicators (KPIs). Deep PC-MAC is trained from scratch with zero-knowledge about FCP and experimental results demonstrate its efficiency when compared to a baseline method.","2378-4873","978-1-7281-6339-0","10.1109/CAMAD50429.2020.9209306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209306","5G;deep reinforcement learning;MAC;unlicensed bands;CSMA/CA;LTE-LAA;LTE-U;WiFi;Coexistence","Wireless fidelity;Base stations;Machine learning;Entropy;Wireless communication;Media Access Protocol;Long Term Evolution","access protocols;learning (artificial intelligence);radio networks;telecommunication computing","incumbent nodes;Deep PC-MAC;artificial intelligence solutions;communication problems;deep reinforcement learning solution;fair coexistence problem;unlicensed bands;advantage actor-critic;pointer-critic architecture;pointer-critic media access protocol;heterogeneous nodes;spectrum starvation;key-performance indicators","","","","21","","30 Sep 2020","","","IEEE","IEEE Conferences"
"Device-Free Hand Gesture Recognition System Based on Commercial Wi-Fi Devices","Z. Tian; J. Wang; X. Yang; M. Zhou","Chongqing Key Lab of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Chongqing Key Lab of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Chongqing Key Lab of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China; Chongqing Key Lab of Mobile Communications Technology, Chongqing University of Posts and Telecommunications, Chongqing, 400065, China","2018 Ubiquitous Positioning, Indoor Navigation and Location-Based Services (UPINLBS)","6 Dec 2018","2018","","","1","6","Recently, the hand gesture recognition has attracted great interest of researchers due to its important role in human-computer interaction (HCI), smart home applications and virtual reality (VR). The conventional systems mainly utilize additional equipment, such like dedicated sensors and cameras, resulting in higher cost and limitation in application scenarios. In this paper, we present a new gesture recognition system by leveraging the channel state information (CSI) which can be extracted from commodity Wi-Fi device. We design a novel interference elimination algorithm to diminish the influence caused by the signals reflected from static objects and the signal that travels from the transmitter to the receiver directly. After interference elimination, the system can capture the signal reflected from the hand and sample this signal. Then, the sample values are used to construct a virtual antenna array to estimate the moving trajectory of hand. At last, we use Support Vector Machine (SVM) to classify the trajectories and complete the gesture recognition. The extensive analytical and experimental results demonstrate our system can achieve an average accuracy of 0.97 for designed 6 single-hand gestures. Moreover, the system is capable of performing two-hand gesture recognition and it can reach an average accuracy of 0.95 for designed 3 two-hand gestures.","","978-1-5386-3755-5","10.1109/UPINLBS.2018.8559715","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8559715","","Support vector machines;Transmitters;Interference elimination;Gesture recognition;Virtual reality;Smart homes;Sensor systems and applications","antenna arrays;gesture recognition;interference suppression;signal sampling;support vector machines;wireless LAN","channel state information;interference elimination algorithm;virtual antenna array;two-hand gesture recognition;device-free hand gesture recognition system;smart home applications;commercial Wi-Fi devices;CSI;support vector machine;SVM;trajectory classification;signal sampling","","","","16","","6 Dec 2018","","","IEEE","IEEE Conferences"
"A Real Time Healthcare Monitoring System Based on Open Source IoT and ANFIS","M. Subhedar; V. Jadhav; S. Tekade; M. Prajapati","Pillai HOC College of Engineering & Technology, Dept. Of Electronics and Communication Engineering, Rasayani, Maharashtra, India; Pillai HOC College of Engineering & Technology, Dept. Of Electronics and Communication Engineering, Rasayani, Maharashtra, India; Pillai HOC College of Engineering & Technology, Dept. Of Electronics and Communication Engineering, Rasayani, Maharashtra, India; Pillai HOC College of Engineering & Technology, Dept. Of Electronics and Communication Engineering, Rasayani, Maharashtra, India","2018 Second International Conference on Intelligent Computing and Control Systems (ICICCS)","10 Mar 2019","2018","","","281","286","Integrating the healthcare monitoring devices with various emerging technologies like wireless sensor networks and Internet of Things (IoT), has become a keen area of interest worldwide. The proposed system aims to develop a wearable wireless body sensor device integrating adaptive neural intelligence in the field of healthcare monitoring using IoT. Wireless body sensor units are able to detect behaviour of human body parameters and transmit them using various data analysis and transmission techniques. Adaptive Neural Fuzzy Inference System (ANFIS) would allow the system to prioritize the collected physiological parameters from the sensor nodes by itself, making it a smart healthcare monitoring system. The proposed model has been developed as a prototype of a real-time wearable e-healthcare monitoring system by integrating ANFIS and an open source IoT. The model consists of sensors that collects vital data from patient's body and then transmits using Wi-Fi to the Cloud service which can be accessed by any IoT platform (ThingSpeak) on central HUB. At central HUB, fuzzy logic converts raw data into linguistic variables which is trained in ANFIS to give priority to patients depending on the status of patient. This system results in providing a reliable, accurate and real time data of patients continuously, and transmits the prioritized data during emergency.","","978-1-5386-2842-3","10.1109/ICCONS.2018.8663037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663037","Healthcare Monitoring;ANFIS;Internet of Things;wireless sensor network","Medical services;Monitoring;Fuzzy logic;Biomedical monitoring;Wireless fidelity;Wireless sensor networks;Internet of Things","body area networks;body sensor networks;cloud computing;data analysis;fuzzy logic;fuzzy neural nets;fuzzy reasoning;health care;Internet of Things;patient monitoring;wireless sensor networks","open source IoT;healthcare monitoring devices;wireless sensor networks;wearable wireless body sensor device;adaptive neural intelligence;wireless body sensor units;human body parameters;data analysis;transmission techniques;Adaptive Neural Fuzzy Inference System;ANFIS;collected physiological parameters;sensor nodes;smart healthcare monitoring system;real-time wearable e-healthcare monitoring system;vital data;patient;IoT platform;central HUB;real time data;prioritized data;fuzzy logic","","","","13","","10 Mar 2019","","","IEEE","IEEE Conferences"
"Dictionary-Based Statistical Fingerprinting for Indoor Localization","C. Kumar; K. Rajawat","Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India","IEEE Transactions on Vehicular Technology","17 Sep 2019","2019","68","9","8827","8841","Indoor localization is a challenging task as the signal propagation in indoor environments does not adhere to the classical path loss or other simple models. Modern high-accuracy indoor localization algorithms rely on fingerprinting methods that entail an offline phase of data collection and mapping phase. This work puts forth a dictionary learning framework for fingerprinting indoor locations using GSM, WiFi, and other sensor measurements. Different from the existing works, the proposed methods are model-free, can handle missing measurements, and fingerprints can be flexibly updated in an online fashion. The dictionary learning algorithm itself is appropriately modified to ensure incoherence between fingerprints of nearby locations and appropriate weighing of the sparse coefficients. A hidden markov model based tracking algorithm is also provided that considers the recent history while estimating the user location. Detailed experiments are carried out over four different maps to demonstrate the efficacy and usefulness of the proposed algorithm, in comparison to the state-of-the-art classification-based and model-based indoor localization algorithms.","1939-9359","","10.1109/TVT.2019.2929360","Department of Science and Technology India(grant numbers:EMR/2016/005959); Twenty Fourth National Conference on Communications; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8765368","Indoor Localization;Fingerprinting;Dictionary Learning;Hidden Markov Model","Hidden Markov models;Machine learning;Wireless fidelity;Dictionaries;Fingerprint recognition;Time measurement;GSM","cellular radio;fingerprint identification;hidden Markov models;indoor radio;sensor placement;statistical analysis;wireless LAN;wireless sensor networks","dictionary-based statistical fingerprinting;signal propagation;sensor measurements;model-based indoor localization algorithms;hidden Markov model based tracking algorithm;GSM;WiFi","","11","","75","IEEE","17 Jul 2019","","","IEEE","IEEE Journals"
"Robust Commuter Movement Inference from Connected Mobile Devices","B. Song; H. Poonawala; L. Wynter; S. Blandin","Ecole Polytech., Palaiseau, France; IBM Res., Singapore, Singapore; IBM Res., Singapore, Singapore; IBM Res., Singapore, Singapore","2018 IEEE International Conference on Data Mining Workshops (ICDMW)","10 Feb 2019","2018","","","640","647","The preponderance of connected devices provides unprecedented opportunities for fine-grained monitoring of the public infrastructure. However while classical models expect high quality application-specific data streams, the promise of the Internet of Things (IoT) is that of an abundance of disparate and noisy datasets from connected devices. In this context, we consider the problem of estimation of the level of service of a city-wide public transport network. We first propose a robust unsupervised model for train movement inference from wifi traces, via the application of robust clustering methods to a one dimensional spatio-temporal setting. We then explore the extent to which the demand-supply gap can be estimated from connected devices. We propose a classification model of real-time commuter patterns, including both a batch training phase and an online learning component. We describe our deployment architecture and assess our system accuracy on a large-scale anonymized dataset comprising more than 10 billion records.","2375-9259","978-1-5386-9288-2","10.1109/ICDMW.2018.00099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8637519","Public transport;real-time estimation;online learning;unsupervised models;classification","Sensors;Real-time systems;Probes;Monitoring;Estimation;Biological system modeling;Machine learning","Internet of Things;learning (artificial intelligence);mobile computing;pattern classification;pattern clustering;public transport;railways;traffic engineering computing","connected devices;classification model;robust commuter movement inference;connected mobile devices;fine-grained monitoring;public infrastructure;high quality application-specific data streams;disparate datasets;noisy datasets;city-wide public transport network;robust unsupervised model;train movement inference;robust clustering methods;Internet of Things;wifi traces;demand-supply gap;real-time commuter patterns;batch training phase;online learning component","","","","23","","10 Feb 2019","","","IEEE","IEEE Conferences"
"RF Sensing in the Internet of Things: A General Deep Learning Framework","X. Wang; X. Wang; S. Mao",NA; NA; NA,"IEEE Communications Magazine","16 Sep 2018","2018","56","9","62","67","In this article, we propose a general deep learning framework for RF sensing in the IoT. We first present the proposed framework, and then review various RF sensing techniques, deep learning techniques, and canonical RF sensing applications. We apply the proposed framework to fingerprinting, activity recognition, and vital sign monitoring using WiFi CSI and present experimental results. We conclude this article with a discussion of research challenges and open problems.","1558-1896","","10.1109/MCOM.2018.1701277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466357","","Machine learning;Radio frequency;Wireless fidelity;Logic gates;Acoustics;Radiofrequency identification;Smart devices;Internet of Things","Internet of Things;learning (artificial intelligence);wireless LAN","general deep learning framework;RF sensing techniques;deep learning techniques;canonical RF sensing applications;internet of things;IoT;WiFi CSI","","53","","15","IEEE","16 Sep 2018","","","IEEE","IEEE Magazines"
"A multiple-stage classifier for identifying unknown Internet traffic","W. Lu; A. A. Ghorbani","Computer Science Department Keene State College, USNH, Keene USA; Faculty of Computer Science University of New Brunswick, NB Canada","Proceedings of 2011 IEEE Pacific Rim Conference on Communications, Computers and Signal Processing","3 Oct 2011","2011","","","725","729","Accurate and timely classification of network traffic has received a lot of attention recently due to its important roles in many subjects such as QoS provisioning, traffic engineering, network intrusion detection and prevention. In this paper, we present a multiple-stage framework to classify the unknown network traffic in which we first use the well-known port numbers and static payload signatures to identify the most popular network applications and then a deep payload inspection technique is proposed to classify those applications with ephemeral connections. For the rest unknown traffic we applied the traditional k-means algorithm to classify them into existing known application communities. During the experimental evaluation, we verify our algorithm with the network flows collected on a campus-wide WiFi ISP network over one hour and evaluation results show a high detection accuracy approaching to 97%.","2154-5952","978-1-4577-0253-2","10.1109/PACRIM.2011.6032983","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032983","","Payloads;Protocols;Classification algorithms;Clustering algorithms;Machine learning;Communities;Internet","Internet;telecommunication traffic;wireless LAN","multiple-stage classifier;Internet traffic;port number;static payload signature;deep payload inspection technique;ephemeral connection;k-means algorithm;campus-wide WiFi ISP network","","","","21","","3 Oct 2011","","","IEEE","IEEE Conferences"
"Do You See What I See?<Subtitle>Detecting Hidden Streaming Cameras Through Similarity of Simultaneous Observation","K. Wu; B. Lagesse","Computing and Software Systems, University of Washington Bothell, Bothell, WA, USA; Computing and Software Systems, University of Washington Bothell, Bothell, WA, USA","2019 IEEE International Conference on Pervasive Computing and Communications (PerCom","22 Jul 2019","2019","","","1","10","Small, low-cost, wireless cameras are becoming increasingly commonplace making surreptitious observation of people more difficult to detect. Previous work in detecting hidden cameras has only addressed limited environments in small spaces where the user has significant control of the environment. To address this problem in a less constrained scope of environments, we introduce the concept of similarity of simultaneous observation where the user utilizes a camera (Wi-Fi camera, camera on a mobile phone or laptop) to compare timing patterns of data transmitted by potentially hidden cameras and the timing patterns that are expected from the scene that the known camera is recording. To analyze the patterns, we applied several similarity measures and demonstrated an accuracy of over 87% and and F1 score of 0.88 using an efficient threshold-based classification. Furthermore, we used our data set to train a neural network and saw improved results with accuracy as high as 97% and an F1 score over 0.95 for both indoors and outdoors settings. From these results, we conclude that similarity of simultaneous observation is a feasible method for detecting hidden wireless cameras that are streaming video of a user. Our work removes significant limitations that have been put on previous detection methods.","2474-249X","978-1-5386-9148-9","10.1109/PERCOM.2019.8767411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8767411","Security;Privacy;IoT;Pervasive Compuing;Hidden Camera;Smart Spaces","Cameras;Wireless fidelity;Streaming media;Mobile handsets;Monitoring;Feature extraction;Timing","cameras;neural nets;video streaming","hidden streaming;detecting hidden cameras;constrained scope;Wi-Fi camera;mobile phone;timing patterns;potentially hidden cameras;efficient threshold-based classification;hidden wireless cameras","","4","","22","","22 Jul 2019","","","IEEE","IEEE Conferences"
"DeepRemote: A smart remote controller for intuitive control through home appliances recognition by deep learning","Y. Takahashi; N. Shirakura; K. Toyoshima; T. Amako; R. Isobe; J. Takamatsu; K. Yasumoto","Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan; Graduate School of Information Science, Nara Institute of Science and Technology, Ikoma, Nara 630-0192, Japan","2017 Tenth International Conference on Mobile Computing and Ubiquitous Network (ICMU)","5 Apr 2018","2017","","","1","6","In ordinary households, as the number of home appliances increases, the number of remote controllers also increases. This makes it difficult to manage remote controllers and find an appropriate one for the target appliance. Recently, systems that can control multiple home appliances through one interface have been proposed. However, such systems have the following problems: interface gets complicated as the number of target appliances increases, a special device needs to be attached to each home appliance or a controller. In this paper, we propose DeepRemote, a smart remote controller that can recognize various home appliances and operate them through IR or network. DeepRemote mounts a camera, an infrared (IR) transceiver, Wi-Fi module, four buttons, an inertial measurement unit (IMU) and a speaker. To recognize a target home appliance, the user just points DeepRemote to the appliance intuitively. After recognition, it automatically enters a particular mode to operate the known home appliance. Then the user can control it through a simple interface using buttons and gestures. Through experiments, we confirmed that DeepRemote achieved 81.07% recognition accuracy for five types of home appliances from different user positions, with about 5 seconds for operating a home appliance when the recognition is accurate.","","978-4-907626-31-0","10.23919/ICMU.2017.8330111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330111","","Home appliances;Machine learning;Cameras;Control systems;Target recognition;Transmitters;Image recognition","domestic appliances;home automation;telecontrol;wireless LAN","DeepRemote;smart remote controller;intuitive control;home appliances recognition;multiple home appliances;target home appliance;deep learning;infrared transceiver;Wi-Fi module;inertial measurement unit;camera;time 5.0 s","","","","22","","5 Apr 2018","","","IEEE","IEEE Conferences"
"Is Centimeter Accuracy Achievable for LTE-CSI Fingerprint-Based Indoor Positioning?","Y. Wang; S. Han; Y. Tian; C. Xiu; D. Yang","School of Electronics and Information Engineering, Beihang University (BUAA), Beijing, China; School of Electronics and Information Engineering, Beihang University (BUAA), Beijing, China; School of Electronics and Information Engineering, Beihang University (BUAA), Beijing, China; School of Electronics and Information Engineering, Beihang University (BUAA), Beijing, China; School of Electronics and Information Engineering, Beihang University (BUAA), Beijing, China","IEEE Access","1 May 2020","2020","8","","75249","75255","Channel state information (CSI) fingerprint based indoor positioning has been extensively studied. While centimeter-level positioning accuracy has been demonstrated for Wi-Fi systems, only meter-level accuracy was reported for Long-term Evolution (LTE) systems. To investigate whether the centimeter accuracy is achievable or not for LTE systems, we examine the factors that affect the positioning accuracy to guide the implementation of a LTE-CSI fingerprinting system, where a novel phase compensation method is proposed to improve the CSI quality. We demonstrate for the first time that the centimeter-level positioning accuracy is achievable for LTE systems through extensive experiments.","2169-3536","","10.1109/ACCESS.2020.2988387","Beihang BeiDou Technology Achievement Transformation and Industrialization Fund(grant numbers:BARI1806); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9069194","Indoor positioning;fingerprinting;channel state information (CSI);LTE","Long Term Evolution;Phase distortion;Channel estimation;Wireless fidelity;OFDM;Fingerprint recognition;Machine learning algorithms","indoor navigation;indoor radio;Long Term Evolution;radionavigation;wireless channels;wireless LAN","Long-term Evolution systems;meter-level accuracy;Wi-Fi systems;channel state information fingerprint;LTE-CSI fingerprint-based indoor positioning;centimeter accuracy achievable;LTE systems;centimeter-level positioning accuracy;CSI quality;LTE-CSI fingerprinting system","","2","","10","CCBY","16 Apr 2020","","","IEEE","IEEE Journals"
"Power-Delay Tradeoff in Mobile-Edge Computation Offloading with Heterogeneous Applications","S. Muhammad; Z. Shen; J. Qi; G. Zhang","College of Information Science and Technology, Donghua University, China; College of Information Science and Technology, Donghua University, China; College of Information Science and Technology, Donghua University, China; College of Information Science and Technology, Donghua University, China","2018 IEEE 18th International Conference on Communication Technology (ICCT)","3 Jan 2019","2018","","","227","231","Power-delay tradeoff scheme in smart device (SD) tasks execution by the joint optimization of dynamic voltage and frequency scaling (DVFS) problem has been studied over the last few years. Since, it is a great achievement for reducing power consumption but there is still need for the reduction of power consumption to its maximum extent without affecting the computational experience. In this paper, we proposed a new system model with the use of Mobile-Edge Computing (MEC) server to improve the standards of processing by serving the networking tasks of smart cellular device. An energy harvesting problem is generated by isolating networking and non-networking applications. The tradeoff is analyze by queue stability constraints and an online algorithm considering MEC and multiple wireless interfaces, e.g., Wi-Fi, LTE. Simulation results are taken based on a numerical example reveals that our smart device major part of power consumption is consisting of networking applications because of their continuous execution. The introduction of MEC server reduces the power consumption approximately 90 % of its actual power (current state) by executing the continuous networking applications on behalf of the Smart device and trading small delays of 10 ms between each executed task.","2576-7828","978-1-5386-7635-6","10.1109/ICCT.2018.8599911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599911","power-delay;mobile-edge computing;Lyapunov optimization;WiFi/LTE;smart device","Servers;Task analysis;Smart devices;Artificial neural networks;Power demand;Computational modeling;Optimization","cellular radio;energy harvesting;mobile computing;telecommunication power management","smart cellular device;energy harvesting problem;nonnetworking applications;MEC server;continuous networking applications;heterogeneous applications;power-delay tradeoff scheme;smart device tasks execution;dynamic voltage;networking tasks;mobile-edge computation offloading;mobile-edge computing server;time 10.0 ms","","","","15","","3 Jan 2019","","","IEEE","IEEE Conferences"
"Driver Authentication for Smart Car Using Wireless Sensing","S. D. Regani; Q. Xu; B. Wang; M. Wu; K. J. R. Liu","Department of Electrical and Computer Engineering, University of Maryland at College Park, College Park, MD, USA; Department of Electrical and Computer Engineering, University of Maryland at College Park, College Park, MD, USA; Department of Electrical and Computer Engineering, University of Maryland at College Park, College Park, MD, USA; Department of Electrical and Computer Engineering, University of Maryland at College Park, College Park, MD, USA; Department of Electrical and Computer Engineering, University of Maryland at College Park, College Park, MD, USA","IEEE Internet of Things Journal","12 Mar 2020","2020","7","3","2235","2246","In the present evolving world, automobiles have become an intelligent electronic machine and are no longer a mere transport medium. In this article, we attempt to make them smarter by introducing the idea of in-car driver authentication using wireless sensing and develop a system that can recognize drivers automatically. The proposed system can recognize human identity by identifying the unique radio biometric information recorded in the channel state information (CSI) through multipath propagation. However, since the environmental information is also captured in the CSI, the performance of radio biometric recognition may be degraded by the changing environment. In this article, we first address the problem of “in-car changing environments” where the existing wireless sensing-based human identification system fails. We build a long-term driver radio biometric database consisting of radio biometrics of seven people collected over a period of two months. We leverage this database to create machine learning models that make the proposed system adaptive to new in-car environments. Second, we study the performance of the in-car driver authentication system with increasing effective bandwidth. We realize an effective bandwidth of 960 MHz by exploiting the multiantenna and frequency diversities in commercial WiFi devices. The performance of the proposed system is shown to improve with increasing effective bandwidth and the long-term experiments demonstrate the feasibility and accuracy of the proposed system. The accuracy achieved in the two-driver scenario is up to 99.13% for the best case.","2327-4662","","10.1109/JIOT.2019.2958692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930498","Driver authentication;human identification;radio biometrics;radio shot;smart car;wireless sensing","Biometrics (access control);Authentication;Automobiles;Wireless communication;Wireless sensor networks;Sensors","biometrics (access control);diversity reception;learning (artificial intelligence);radiowave propagation;telecommunication security;traffic engineering computing;wireless LAN;wireless sensor networks","WiFi devices;radio biometric information;wireless sensing-based human identification system;long-term experiments;in-car driver authentication system;machine learning models;long-term driver radio biometric database;in-car changing environments;radio biometric recognition;environmental information;multipath propagation;CSI;channel state information;intelligent electronic machine;smart car;frequency 960.0 MHz","","9","","33","IEEE","10 Dec 2019","","","IEEE","IEEE Journals"
"Architecting a hybrid cross layer dew-fog-cloud stack for future data-driven cyber-physical systems","M. Frincu","e-Austria Research Institute and West University of Timisoara, Department of Computer Science, Romania","2017 40th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","13 Jul 2017","2017","","","399","403","The Internet of Things is gaining traction due to the emergence of smart devices surrounding our daily lives. These cyber-physical systems (CPS) are highly distributed, communicate over wi-fi or wireless and generate massive amounts of data. In addition, many of these systems require near real-time control (RTC). In this context, future IT platforms will have to adapt to the Big Data challenge by bringing intelligence to the edge of the network (dew computing) for low latency fast local decisions while keeping at the same time a centralized control based on well-established scalable and fault tolerant technologies brought to life by cloud computing.","","978-953-233-090-8","10.23919/MIPRO.2017.7973456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7973456","","Cloud computing;Computer architecture;Machine learning algorithms;Smart grids;Big Data","Big Data;cloud computing;cyber-physical systems;fault tolerant computing;Internet of Things;real-time systems;wireless LAN","hybrid cross layer dew-fog-cloud stack;data-driven cyber-physical systems;Internet of Things;smart devices;CPS;Wi-Fi;real-time control;RTC;Big Data;fault tolerant technologies;cloud computing","","7","","16","","13 Jul 2017","","","IEEE","IEEE Conferences"
"RAD-GAN: Radio Map Anomaly Detection for Fingerprint Indoor Positioning with GAN","H. Ai; T. Hu; T. Xu","Wuhan University,School of Cyber Science and Engineering,Wuhan,China; Wuhan University,School of Cyber Science and Engineering,Wuhan,China; Shanghai Institute of Satellite Engineering,Shanghai,China","2021 International Conference on Indoor Positioning and Indoor Navigation (IPIN)","4 Jan 2022","2021","","","1","8","Fingerprinting approach based on a radio map is one of the well-received methods for indoor localization. However, owing to the radio devices reconfigured or deteriorated, the radio map will be degraded, rendering the positioning outcomes unreliable. We introduce an unsupervised anomaly detection model, termed Radio Map Anomaly Detection for Fingerprint Indoor Positioning with GAN (RAD-GAN), which trains only the normal RSSI (Received Signal Strength Indication) samples to learn the normality distribution of the radio signal in the spatial indoor domain. We exploit an encoder-decoder-encoder neural network for latent feature extraction. Afterward, an adversarial training scheme is employed to minimize the reconstruction error both within RSSI space and latent feature space. The higher reconstruction deviation of the RSSI vector is indicative of an anomaly from a normal distribution. We evaluate RAD-GAN in a BLE (Bluetooth Low Energy) signal environment with the power gain actively modified and the public UJI long-term Wi-Fi fingerprinting dataset. Experimental results show that RAD-GAN is more sensitive and robust than the former state-of-the-art models.","2471-917X","978-1-6654-0402-0","10.1109/IPIN51156.2021.9662616","Research and Development; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9662616","indoor positioning;fingerprint radio map;anomaly detection;GAN","Location awareness;Training;Indoor navigation;Neural networks;Fingerprint recognition;Generative adversarial networks;Rendering (computer graphics)","","","","","","33","","4 Jan 2022","","","IEEE","IEEE Conferences"
"Programming abstractions for wireless multicasting in software-defined enterprise WLANs","E. Coronado; R. Riggio; J. Villalón; A. Garrido","High-Performance Networks and Architectures (RAAP), University of Castilla-La Mancha, Albacete, Spain; FBK CREATE-NET, Trento, Italy; High-Performance Networks and Architectures (RAAP), University of Castilla-La Mancha, Albacete, Spain; High-Performance Networks and Architectures (RAAP), University of Castilla-La Mancha, Albacete, Spain","2017 IFIP/IEEE Symposium on Integrated Network and Service Management (IM)","24 Jul 2017","2017","","","263","271","The increasing demand for multimedia content and for live broadcasting is bringing renewed interest in multicast applications. In many cases, users access such streams using Wi-Fi networks. However, multicast over Wi-Fi poses several challenges including low-data rates and coexistence issues with regard to other unicast streams. Software Defined Networking (SDN) has recently emerged as a novel approach to network control and management. In this paper we present SDN@Play, a novel SDN-based solution for multicast rate-adaptation in Wi-Fi networks. The solution builds upon a new abstraction, named Transmission Policy which allows the SDN controller to reconfigure or replace a certain rate control policy if its optimal operating conditions are not met. An experimental evaluation carried out over a real-world testbed shows that this approach can deliver an improvement of up to 80% in terms of channel utilization compared to legacy 802.11 multicast. We release the entire implementation including the controller and the data-path under a permissive license for academic use.","","978-3-901882-89-0","10.23919/INM.2017.7987288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7987288","WLANs;IEEE 802.11;multicast;rate adaptation;software defined networking","Reliability;Artificial neural networks","computer network management;multicast communication;multimedia systems;software defined networking;wireless LAN","software defined enterprise WLAN;wireless multicasting;multimedia content;live broadcasting;multicast applications;Wi-Fi networks;software defined networking;network control;network management;transmission policy;SDN controller;channel utilization","","5","","22","","24 Jul 2017","","","IEEE","IEEE Conferences"
"Integrated Human Tracking Based on Video and Smartphone Signal Processing within the Arahub System","J. Ludziejewski; Ł. Grad; Ł. Przebinda; T. Tajmajer",Uniwersytet Warszawski; Uniwersytet Warszawski; Arahub & Myled; QED Software,"2020 15th Conference on Computer Science and Information Systems (FedCSIS)","14 Oct 2020","2020","","","105","114","Embedded platforms with GPU acceleration, designed for performing machine learning on the edge, enabled the creation of inexpensive and pervasive computer vision systems. Smartphones are nowadays widely used for profiling and tracking in marketing, based on WiFi data or beacon-based positioning systems. We present the Arahub system, which aims at integrating world of computer vision systems with smartphone tracking for delivering data useful in interactive applications, such as interactive advertisements. In this paper we present the architecture of the Arahub system and provide insight about its particular elements. Our preliminary results, obtained from real-life test environments and scenarios, show that the Arahub system is able to accurately assign smartphones to their bearers, based on visual and WiFi/Bluetooth positioning data. We show the commercial value of such system and its potential applications.","","978-83-955416-7-4","10.15439/2020F189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222992","","Computer science;Computer vision;Visualization;Graphics processing units;Machine learning;Computer architecture;Signal processing","Bluetooth;computer vision;learning (artificial intelligence);life testing;mobile computing;smart phones;wireless LAN","Arahub system;inexpensive computer vision systems;pervasive computer vision systems;smartphones;beacon-based;smartphone tracking;integrated human tracking;smartphone signal processing;GPU acceleration","","1","","37","","14 Oct 2020","","","IEEE","IEEE Conferences"
